Price,Area,Location,City,No_of_Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,Security,PowerBackup
300000,3340,JP Nagar Phase 1,Bangalore,4,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
78880,1045,Dasarahalli on Tumkur Road,Bangalore,2,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1
48660,1179,Kannur on Thanisandra Main Road,Bangalore,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
83580,1675,Doddanekundi,Bangalore,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
68450,1670,Kengeri,Bangalore,3,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
67970,1220,Horamavu,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
200000,2502,Thanisandra,Bangalore,4,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1
71050,1438,Ramamurthy Nagar,Bangalore,3,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
84050,1405,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
35060,660,Electronic City Phase 1,Bangalore,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
77000,1362,Yelahanka,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
93690,1735,Anjanapura,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
87160,1575,Jalahalli,Bangalore,3,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
53940,1120,Kasavanahalli,Bangalore,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
63670,1415,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1
50800,1270,Bommasandra,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
72099.99,1311,Bellandur,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
57000,1210,RR Nagar,Bangalore,2,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1
300000,3340,JP Nagar Phase 1,Bangalore,4,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
78880,1045,Dasarahalli on Tumkur Road,Bangalore,2,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1
48660,1179,Kannur on Thanisandra Main Road,Bangalore,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
83580,1675,Doddanekundi,Bangalore,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
68450,1670,Kengeri,Bangalore,3,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
67970,1220,Horamavu,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
200000,2502,Thanisandra,Bangalore,4,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1
71050,1438,Ramamurthy Nagar,Bangalore,3,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
84050,1405,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
35060,660,Electronic City Phase 1,Bangalore,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
77000,1362,Yelahanka,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
93690,1735,Anjanapura,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
87160,1575,Jalahalli,Bangalore,3,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
53940,1120,Kasavanahalli,Bangalore,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
63670,1415,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1
50800,1270,Bommasandra,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
72099.99,1311,Bellandur,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
57000,1210,RR Nagar,Bangalore,2,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1
124000,1705,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1
49000,1187,Begur,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
300000,3340,JP Nagar Phase 1,Bangalore,4,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
78880,1045,Dasarahalli on Tumkur Road,Bangalore,2,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1
48660,1179,Kannur on Thanisandra Main Road,Bangalore,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
83580,1675,Doddanekundi,Bangalore,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
68450,1670,Kengeri,Bangalore,3,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
67970,1220,Horamavu,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
200000,2502,Thanisandra,Bangalore,4,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1
71050,1438,Ramamurthy Nagar,Bangalore,3,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
84050,1405,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
35060,660,Electronic City Phase 1,Bangalore,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
77000,1362,Yelahanka,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
93690,1735,Anjanapura,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
87160,1575,Jalahalli,Bangalore,3,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
53940,1120,Kasavanahalli,Bangalore,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
63670,1415,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1
50800,1270,Bommasandra,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
72099.99,1311,Bellandur,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
57000,1210,RR Nagar,Bangalore,2,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1
124000,1705,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1
49000,1187,Begur,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
50800,1270,Bommasandra,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
96300,2293,Kannur on Thanisandra Main Road,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
94580,1726,Hosa Road,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
237000,2470,Sahakar Nagar,Bangalore,4,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
73630,1570,Kadugodi,Bangalore,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1
54890,1120,Jakkur,Bangalore,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42160,1506,Jigani,Bangalore,3,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1
43680,1040,Krishnarajapura,Bangalore,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1
76000,1150,Brookefield,Bangalore,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45450,1045,Horamavu,Bangalore,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
231000,2480,Banashankari,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
80000,1160,RR Nagar,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
45140,1143,RR Nagar,Bangalore,2,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1
54600,1300,RR Nagar,Bangalore,2,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
44140,966,Nelamangala,Bangalore,2,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1
88680,1245,Begur,Bangalore,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
61330,1275,Ramamurthy Nagar,Bangalore,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
30380,1085,Attibele,Bangalore,2,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1
71000,1286,Nelamangala,Bangalore,3,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0
75069.99,1155,Banaswadi,Bangalore,2,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0
65200,1304,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0
63890,1120,Kodigehalli,Bangalore,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
117000,2017,ITPL,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1
56000,1340,Uttarahalli Hobli,Bangalore,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45620,1304,Electronic City Phase 1,Bangalore,3,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1
29510,649,Ramamurthy Nagar,Bangalore,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
42640,1108,Krishnarajapura,Bangalore,2,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1
